pot_total,position,payout
200.0,1,100
200.0,2,60
200.0,3,40
200.0,4,Bubble
220.0,1,100
220.0,2,60
220.0,3,40
220.0,4,20
220.0,5,Bubble
240.0,1,110
240.0,2,66
240.0,3,44
240.0,4,20
240.0,5,Bubble
260.0,1,120
260.0,2,72
260.0,3,48
260.0,4,20
260.0,5,Bubble
280.0,1,130
280.0,2,78
280.0,3,52
280.0,4,20
280.0,5,Bubble
300.0,1,140
300.0,2,84
300.0,3,56
300.0,4,20
300.0,5,Bubble
320.0,1,150
320.0,2,90
320.0,3,60
320.0,4,20
320.0,5,Bubble
340.0,1,160
340.0,2,96
340.0,3,64
340.0,4,20
340.0,5,Bubble
360.0,1,170
360.0,2,102
360.0,3,68
360.0,4,20
360.0,5,Bubble
380.0,1,160
380.0,2,96
380.0,3,64
380.0,4,40
380.0,5,20
380.0,6,Bubble
400.0,1,170
400.0,2,102
400.0,3,68
400.0,4,40
400.0,5,20
400.0,6,Bubble
420.0,1,180
420.0,2,108
420.0,3,72
420.0,4,40
420.0,5,20
420.0,6,Bubble
440.0,1,190
440.0,2,114
440.0,3,76
440.0,4,40
440.0,5,20
440.0,6,Bubble
460.0,1,200
460.0,2,120
460.0,3,80
460.0,4,40
460.0,5,20
460.0,6,Bubble
480.0,1,210
480.0,2,126
480.0,3,84
480.0,4,40
480.0,5,20
480.0,6,Bubble
500.0,1,220
500.0,2,132
500.0,3,88
500.0,4,40
500.0,5,20
500.0,6,Bubble
520.0,1,230
520.0,2,138
520.0,3,92
520.0,4,40
520.0,5,20
520.0,6,Bubble
540.0,1,240
540.0,2,144
540.0,3,96
540.0,4,40
540.0,5,20
540.0,6,Bubble
560.0,1,250
560.0,2,150
560.0,3,100
560.0,4,40
560.0,5,20
560.0,6,Bubble
580.0,1,260
580.0,2,156
580.0,3,104
580.0,4,40
580.0,5,20
580.0,6,Bubble
600.0,1,270
600.0,2,162
600.0,3,108
600.0,4,40
600.0,5,20
600.0,6,Bubble
